dn
"ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=herrenbauer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schaedel,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vangenuchten,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bm058,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pk053,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cm082,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ks143,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ys013,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=seidl,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mu017,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tb078,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fk060,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mg117,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kk093,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lr027,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mr124,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tk101,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sh206,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms355,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kj012,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cb121,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ps082,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lk061,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jh133,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lp023,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fa014,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bk073,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mg118,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ls067,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fg038,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=geiger,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=weitkowitz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=aj031,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sg108,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ef017,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=so027,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ee014,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ph047,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cw073,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ak174,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=as224,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pp016,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tv014,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jl073,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ds129,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=es062,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kh077,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mr125,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sr118,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mu018,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cg071,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cm083,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lb058,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ok041,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pw032,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pk054,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kh078,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jk125,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ak175,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sg109,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vg018,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fg040,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lk062,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss330,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fb057,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sb199,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dd030,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ak176,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss331,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fs082,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ks145,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=aw101,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lw044,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rd018,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sz043,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ca033,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cb122,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cb123,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ab151,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mh215,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=eckert,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nielen,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ll023,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jh135,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ph048,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pg031,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bk074,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hg020,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=am119,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hl024,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bl028,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lm034,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=an034,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ch107,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lp024,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fg041,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kh079,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jk126,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kl038,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lp025,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=le013,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=js240,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms360,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lk063,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pp017,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nn018,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ti008,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kb084,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cs191,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ls068,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ds131,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ah141,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mk201,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jk127,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dd031,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ng034,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jk128,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mm179,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=an036,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms361,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kl039,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sm138,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gg021,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cl042,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sg111,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rr030,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sg112,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kh080,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jk129,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pw034,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=keller,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mh216,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pk055,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sd079,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=eo008,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sk222,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mv044,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dt016,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lv012,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=od010,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lp026,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=to010,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jk130,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=simic,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=as226,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ce028,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rg034,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ks146,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fs085,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lm036,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dr043,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=eb038,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=md083,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sf071,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ng035,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dk079,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jk131,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pk056,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bl029,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=er021,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vs055,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms364,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=js242,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=os031,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=au015,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fb058,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=galdean,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bg027,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ep015,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ep016,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fg042,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=il019,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=is054,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pf017,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sm139,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mb218,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms366,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ik031,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms367,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sa046,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jw082,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cs192,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ea007,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ps086,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=js244,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mk205,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kc013,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tp037,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dr045,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ef018,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ch109,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=el017,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss333,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ld022,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rd019,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sw151,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lr030,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=po009,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tr055,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ha013,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rh051,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fk062,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=se057,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ne017,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jf054,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rb062,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cc017,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sg114,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ih027,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ml090,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wm007,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mn031,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fn010,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=et010,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=moergenthaler,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=os033,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sp063,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mp095,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=at043,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jf055,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ve011,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=md085,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ok043,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ak178,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sk227,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rk053,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kl041,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dp037,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms375,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tt021,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=thame,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pw036,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dm074,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lb059,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=varga,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tb082,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schippert,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss340,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bb064,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lm039,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gassner,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=diego,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schmidtho,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=otto,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=engeln,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gutmann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bialdyga,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=raithelhuber,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=henzler,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=huenermann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pohlt,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kalisch,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=buerger,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=stadler,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fp025,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kuethe,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vosss,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ks148,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jb142,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wv003,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schnell,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wohlleben,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=am126,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=trost,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=frankhauser,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=henkel,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=parkinson,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=grafg,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=noller,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wellmann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=braeuning,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=michelc,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wolfg,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mr127,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=me068,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mh220,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kozic,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kuhnn,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schueler,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=klotz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ar100,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mp096,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mack-wabnegger,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dusch,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dorschel,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tf037,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=aw104,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kieferd,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dl039,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ea009,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ct016,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gerken,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wendlingm,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=airaksinen,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sl096,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fg044,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=umlaufs,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ah143,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gaebeler,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mb225,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vk030,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fs088,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=yh009,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ts128,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vs056,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lp028,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ab156,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mc035,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fg045,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lm041,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms376,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mh221,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vj005,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=br037,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=as229,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mw160,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fr037,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sd081,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ts129,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=krebes,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mm188,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=muench,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sw153,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cr076,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pz009,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=caraballosogranado,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sl097,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jk138,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sh212,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss342,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jb143,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vk031,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=md086,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ju006,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ls072,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lk068,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mw161,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ll025,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ph049,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sm143,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fg046,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fd023,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ruppert,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mn032,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kk100,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=oz008,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ce030,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=li004,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gr016,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sh213,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sh214,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss343,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cm085,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ah144,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sr121,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mr128,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=js255,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ak180,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mh223,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mz058,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=af065,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=do016,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ad054,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ab157,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lb061,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cg073,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fs089,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kk101,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pb044,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jl074,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=as230,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ks149,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=se058,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dh067,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ml091,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mh224,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ps088,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss344,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cb129,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lf021,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ef019,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ld024,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ms377,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=av023,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ab158,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ds136,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=su014,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jb144,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rh053,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ak181,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=db090,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sz045,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lm043,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ta023,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nv005,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sb203,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kt032,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=da025,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ml092,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=vh037,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=so030,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mm189,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss346,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sk228,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mk209,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lg025,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pb045,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mm191,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fm047,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mg121,ou=userlist,dc=hdm-stuttgart,dc=de"
