dn
"ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dulay-winkler,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=buchholz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=skirl,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=merz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dietriche,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mondial,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wollet,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hirsch,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=volpin,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hardt,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=blut,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bohnensteffen,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rolle,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wuerth,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rechnungspruefer17-1,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rechnungspruefer17-2,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=splichal,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wagnerb,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hamm,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=petrova,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wasella,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=burkhardts,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=zaiser,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=akbas,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=xuz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kutz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=grambau,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pruefer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=weissa,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sinclair,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schneiderhe,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=woellke,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=webert,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=arellano,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=seufert,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=li,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kalmbach,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bruijnzeels,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schleihagen,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jester,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=heide,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sadrozinski,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schenk,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kappis,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=zuern,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hilt,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=geisslerc,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mayers,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=uehlein,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=boers,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=maurer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pfalzgraf,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=suphan,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=muellerr,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kreidenweis,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=martensen,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=reich,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=behrens,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=thome,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=weberc,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=spoenle,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=marini,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=zimmermannh,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=keyerleber,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=klasen,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=seyfarth,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bosenick,ou=userlist,dc=hdm-stuttgart,dc=de"
